dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-10-14 16:00:00,1728921600,60200.1,60454.9,59875.7,60336.7,60148.5,204.22043833,8462,XXBTZEUR
2024-10-14 20:00:00,1728936000,60339.3,60788.1,60100.0,60452.0,60479.1,88.67326056,4281,XXBTZEUR
2024-10-15 00:00:00,1728950400,60452.0,60696.0,59831.0,59886.7,60280.2,26.51028286,1796,XXBTZEUR
2024-10-15 04:00:00,1728964800,59886.7,60383.5,59749.5,60200.0,60139.6,81.25352783,4950,XXBTZEUR
2024-10-15 08:00:00,1728979200,60200.9,60291.9,59877.1,59900.0,60151.2,100.49044445,4673,XXBTZEUR
2024-10-15 12:00:00,1728993600,59965.0,62145.5,59400.0,60527.0,60767.6,373.41751311,10498,XXBTZEUR
2024-10-15 16:00:00,1729008000,60527.0,61861.3,60505.0,61432.1,61265.5,147.3717451,5890,XXBTZEUR
2024-10-15 20:00:00,1729022400,61444.1,61569.7,60628.5,61519.9,61131.5,51.62698968,3088,XXBTZEUR
2024-10-16 00:00:00,1729036800,61520.0,61919.2,61282.7,61569.6,61743.1,42.57401948,1785,XXBTZEUR
2024-10-16 04:00:00,1729051200,61569.6,61802.7,61355.4,61480.9,61559.3,59.5706635,4538,XXBTZEUR
2024-10-16 08:00:00,1729065600,61496.2,62699.0,61482.0,62290.6,62078.8,271.76082894,7430,XXBTZEUR
2024-10-16 12:00:00,1729080000,62273.9,62691.9,61624.3,62274.1,62210.3,144.60697078,5663,XXBTZEUR
2024-10-16 16:00:00,1729094400,62274.1,62622.0,62070.5,62376.2,62442.7,83.88140299,3717,XXBTZEUR
2024-10-16 20:00:00,1729108800,62359.7,62511.9,62110.0,62260.1,62341.5,30.52305659,2118,XXBTZEUR
2024-10-17 00:00:00,1729123200,62260.0,62501.7,62079.1,62275.7,62215.1,23.14899377,1266,XXBTZEUR
2024-10-17 04:00:00,1729137600,62275.8,62275.8,61793.8,61962.3,62044.0,121.82028535,3432,XXBTZEUR
